------------------------------「演算結果」------------------------------
          | 経過時間(ミリ秒)| ペナルティ(プライオリティ順)
 249 | time: 1433 msec | Optimization: 60 11502 1 14 131 68
 250 | time: 1436 msec | Optimization: 60 11502 1 14 130 68
 251 | time: 1439 msec | Optimization: 60 11502 1 14 128 68
 252 | time: 1445 msec | Optimization: 60 11496 1 14 130 68
 253 | time: 1450 msec | Optimization: 60 11495 1 15 130 68
 254 | time: 1454 msec | Optimization: 60 11495 1 14 130 69
 255 | time: 1457 msec | Optimization: 60 11495 1 14 130 68
 256 | time: 1463 msec | Optimization: 60 11494 1 15 132 69
 257 | time: 1464 msec | Optimization: 60 11493 1 16 132 69
 258 | time: 1469 msec | Optimization: 60 11493 1 15 132 69
 259 | time: 1471 msec | Optimization: 60 11493 1 15 132 68
 260 | time: 1473 msec | Optimization: 60 11493 1 14 133 69
 261 | time: 1476 msec | Optimization: 60 11493 1 14 132 69
 262 | time: 1479 msec | Optimization: 60 11493 1 14 132 68
 263 | time: 1483 msec | Optimization: 60 11493 1 14 130 69
 264 | time: 1486 msec | Optimization: 60 11493 1 14 130 68
 265 | time: 1525 msec | Optimization: 60 11493 1 14 130 67
 266 | time: 1534 msec | Optimization: 60 11421 1 14 140 65
 267 | time: 1539 msec | Optimization: 60 11413 2 14 138 65
 268 | time: 1545 msec | Optimization: 60 11413 1 15 138 65
 269 | time: 1549 msec | Optimization: 60 11413 1 14 141 65
 270 | time: 1552 msec | Optimization: 60 11413 1 14 140 65
 271 | time: 1555 msec | Optimization: 60 11413 1 14 138 65
 272 | time: 1560 msec | Optimization: 60 11409 2 14 139 65
 273 | time: 1566 msec | Optimization: 60 11409 2 14 138 65
 274 | time: 1567 msec | Optimization: 60 11409 2 14 136 65
 275 | time: 1569 msec | Optimization: 60 11409 2 14 135 65
 276 | time: 1572 msec | Optimization: 60 11408 2 14 138 65
 277 | time: 1576 msec | Optimization: 60 11408 2 14 137 65
 278 | time: 1579 msec | Optimization: 60 11407 2 14 137 65
 279 | time: 1583 msec | Optimization: 60 11407 2 14 136 65
 280 | time: 1587 msec | Optimization: 60 11406 2 14 136 65
 281 | time: 1591 msec | Optimization: 60 11406 2 14 134 65
 282 | time: 1595 msec | Optimization: 60 11406 1 15 134 65
